This list is dynamic and is subject to change. This cashless hospital list is valid for 3 days from the report generate date. Please call the hospital to confirm availability of cashless hospital before admission.
Name,Address,State,City,PinCode,Phone,Email
A B C Hospital,"Assured Best Care Hospital P Ltd, # 1, Malligai Salaiannamalai Nagar, Annamalai Nagar Main Road",Tamil Nadu,Trichy,620018,9655240719,CREDITCELL@ABCHOSPITAL.IN
A B Eye Institute,"Rajendra Nagar, Near Bahadurpur Gumti",Bihar,Patna,800016,9431622222,ABEYEINSTITUTE@GMAIL.COM
A Care Orthopaedic & General Hospital,"G-1 Giriraj Towar Sai Baba Nagar,",Maharashtra,Mumbai,401107,9323503637 / 7506852310,ACAREHOSP@GMAIL.COM
A G Padmavathis Hospital Limited,"R.S. No. 127/1a/1a/Ia/1, Villiyanoor Main Road, Arumbarthapuram, Pondicherry",Pondicherry,Puducherry,605110,9894193669,AGPHOSPITAL_PRO@YAHOO.IN
A J Hospital,"Kazhakuttam, Trivandrum",Kerala,Thiruvananthapuram,695004,4563044658,AJHOSPITAL85@GMAIL.COM
A J Hospital And Research Centre,"Mangalore-Udupi Highway  Kuntikana  Mangalore-575004, Mangalore",Karnataka,Mangalore,575004,9845797659,AJCORPDESK1@GMAIL.COM
A K Hospital,"BLOCK-7,SANJAY COMPLEX,MATA MANDIR",Madhya Pradesh,Bhopal,462003,2776619/4232463,AKHOSPITAL84@GMAIL.COM
A K N Nursing Homes,"20, Kellys Road, Kilpauk",Tamil Nadu,Chennai,600010,4426445015,AKN.AKN10@GMAIL.COM
A N Beach Hospital,"15-9-13/24, Maharanipeta, Beach Road, Krishna Nagar",Andhra Pradesh,Visakhapatnam,530002,0891 - 3268080 / 3263339,ANBEACH@YAHOO.CO.IN
A N N Hospital,"81-85, Annai Therasa Street, Valasaravakkam, Indira Nagar",Tamil Nadu,Chennai,600087,044 - 24869300 / 01 / 02 / 03,ANNHOSPITALS@GMAIL.COM
A One Hospital,"A-1/7, Paschim Vihar, Main Rohtak Road",Delhi,New Delhi,110063,011 - 25271177 / 42311177 / 25264085,AONEHOSPITAL@GMAIL.COM
A P Hospital,"Ajit Nagar Chowk, Near Sutlan Wind Water Tank, Amritsar",Punjab,Amritsar,143006,0183-2588450,
A P Medical Center ,"Saradha College Road, Near Alagapuram Police Station",Tamil Nadu,Salem,636016,9994930184,APMCINSURANCE1@GMAIL.COM
A R Hospital,"NO. 46/6, MADURAI ROAD,",Tamil Nadu,Ramanathapuram,623501,9842822472,ARHOSPITALRAMNAD@YAHOO.COM
A S Kidney Hospital And Stone Centre Pvt Ltd,"1/46, VIJAY ENCLAVE , MAIN DABRI PALAM ROAD, OPP JINDAL PUBLIC SCHOOL,",Delhi,New Delhi,110045,45502262,KIDNEYSTONEHOSPITAL@GMAIL.COM
A V Hospital,"No.97, Solaiappan Street, Chennai",Tamil Nadu,Chennai,600021,4425955859,DRSELVARAJ@AVHOSPITALS.COM
A.B.R  Neuro & Multi Speciality Hospital,"No: 2-3-212/73/NR, Uppal,Land Mark: Pillar No: 28, Dist-Medchal, Telangana – 500092",Telangana,Malkajgiri,500092,9666407270,ABR.NEUROMULTISPECIALITY@GMAIL.COM
A.K Eye Hospital (P) Ltd.,"1136 SANJAY NAGAR STADIUM ROAD, BAREILLY",Uttar Pradesh,Bareilly,243003,7042749590,AK.EYEHOSPITAL03@GMAIL.COM
A.R Patil Multispeciality Hospital,"Plot No 81B, Regency Icon Commercial Complex",Maharashtra,Navi mumbai,410210,7738543332,A.R.PATILHOSPITAL@GMAIL.COM
A.R.Hospital (P)ltd,"33,P&T Main Road,Viswanathapuram",Tamil Nadu,Madurai,625014,4347995,JEYAPAULREVATHI@GMAIL.COM
A1 Hospitals,"12-23-32, Anns Srinivasarao Kalyanamandapam,Opp: RTC Bus Stand, Kothapet",Andhra Pradesh,Guntur,522001,2254321,A1HOSPITALS2016@GMAIL.COM
A4 Hospital ,"NO-87.ARCOT ROAD,VIRUGAMBAKKAM",Tamil Nadu,Chennai,600092,42952244,INSURANCE@A4HOSPITAL.COM
Aa Surgical Speciality Hospital,"No:38-D, 2nd Cross Street, 1st East Main Road, North Anna Nagar, Madurai-625020.",Tamil Nadu,Madurai,625020,0452 - 4210605 / 2521199,AAHOSPITAL.HAND@GMAIL.COM
Aaddhyas Wellness Pvt Ltd,"Icon Building Manglam More,Saguna More,Bailey Road,Patna",Bihar,Patna,801503,9835076900,AADDHYAS@GMAIL.COM
Aadhar Hospital,"OPP. BANK OF INDIA, PUNE-MUMBAI HIGHWAY, DEHU ROAD, PUNE.",Maharashtra,Pune,412101,65107896,aadhar.hosp@gmail.com
Aadhar Hospital,"A/01, Swarmala Co.Op Hsg , Rsc 02 ,",Maharashtra,Mumbai,400095,,CASHLESS.AADHARHOSPITAL22@GMAIL.COM
Aadhar Multispeciality Hospital & I.C.U.,"7A,1st Floor,Gurusharanam Complex,Vishrali Naka,Market Yard Road,Old Panvel",Maharashtra,Mumbai,410206,5467450555,AADHARMULTISPECIALITYHOSPITAL@GMAIL.COM
Aadhar Multispeciality Hospital And Icu,"Shakhu Krupa, Plot No. 199/A, Dr. Ambedkar Road, Near Shivaji Chowk, Old Panvel",Maharashtra,Mumbai,410206,,AADHARMULTISPECIALITYHOSPITAL2@GMAIL.COM
Aadhya Health Care (Greenlands Multispeciality Hospital),"H.No. 8-2-27/1, Ansari Colony, Nalgonda, Telangana ",Telangana,Nalgonda,508001,7337335050,AADHYAHEALTHCARE.GLH@GMAIL.COM 
Aadhya Hospital,"SIDDASHREE COMPLEX, 364/A WARD NO.19",Karnataka,Tumkur,572102,6364896969,AADHYAHOSPITAL24X7@GMAIL.COM
Aadhya Kidney & Dialysis Center,"H.NO. 4-163/1, JANMABHOOMI NAGAR, MANCHERIAL, TEALANGANA",Telangana,Mancherial,504208,9949597222,AADHYANEPHRO@GMAIL.COM
Aadit Hospital,"Custom Road, Chala, Vapi, Pin 396191, Gujarat",Gujarat,Valsad,396191,2463232/2464747,AADITHOSPITAL@GMAIL.COM
Aadithya Adhikari Hospital,"Contour Road , Gokulam",Karnataka,Mysuru,570002,9900451766,HARISH_ADITYA2003@YAHOO.COM
Aaditya Eye And Children Hospital,"401 TO 406, 4TH FLOOR, AKSHAR PLAZA, NR. GOWARDHAN NATHJI HAVELI, NIZAMPURA",Gujarat,Vadodara,390025,9727755278,
Aahana Eye Care Hospital,"S-9 , Nanakram Super Market , Nr H . H . Patel School , Ramnagar, Sabarmati , Ahmedabad.",Gujarat,Ahmedabad,380005,079-27570202,DREKTASHAH01@GMAIL.COM
Aakanksha Maternity & Nursing Home,"Unit No 301/401/501, Navkar Bhavan",Maharashtra,Mumbai,400066,9867053541,TPA.AAKANKSHAHOSPITAL@GMAIL.COM
Aakash Eye And General Hospital,"A- 116, ARJUN PARK NEAR NANGLI DAIRY, NEAR AAKASH PUBLIC SCHOOL,",Delhi,New Delhi,110043,23325393/94,AKASHHOSPITAL84@GMAIL.COM
Aakash Eye Hospital,"f-101-106, 201-204, r k casta, near healing touch hospital",Gujarat,Bharuch,392015,9724470712,
Aakash Healthcare,"ROAD NO 201 , HOSPITAL PLOT, SECTOR 3 DWARKA, NEW DELHI",Delhi,New Delhi,110075,8800015948,TPA@AAKASHHEALTHCARE.COM
Aakash Hospital,"RISHI NAGAR, NEAR BUS STAND, HISAR, 125001",Haryana,Hisar,125001,7015413085,QUALITY.AAKASHHOSPITAL@GMAIL.COM
Aakash Hospital ,"No :3,P.S Sivasamy Salai,Mylapore,Chennai",Tamil Nadu,Chennai,600004,044-42714242,AAKASHENDOSURGINSURANCE@GMAIL.COM
Aakash Hospital,"90/43, Malviya Nagar, New Delhi",Delhi,New Delhi,110017,011 - 41830822 / 41830844 / 41831922,info@aakashhospital.com
Aakash Hospital ,"395, Tondairpet High Road, Thiruvottiyur, Chennai - 600019",Tamil Nadu,Chennai,600019,4425730099,AAKASHSRKDR@GMAIL.COM
Aaloey Phera,"72/65 Thanapukur Para,Hatabari, Contai",West Bengal,Midnapore,721401,7980888622,AALOEYPHERA.MEDICLAIM@GMAIL.COM
Aalok Orthocare.,"8, Vidyavihar Colony, Opp. Hotel Fortune Landmark, Usmanpura Cross Road, Usmanpura",Gujarat,Ahmedabad,380013,9909983959,mukesh559@yahoo.com
Aamna Hospital ,"Shop No. 3/4, Swami Samarth Complex, Sector 16, Roadpali",Maharashtra,Navi mumbai,410218,9653267687,AAMNAHOSPITAL@GMAIL.COM
Aanch Hospital,"K-32,INCOME TAX COLONY,SL MARG,",Rajasthan,Jaipur,302018,9929915033,
Aanvi Endoscopy And Surgery Centre,"112-117, 1st Floor, Maruti Plaza Complex,",Gujarat,Bharuch,392001,9824120966,AANVISURGEYCENTRE@GMAIL.COM
Aaradhya Eye Hospital,"11, W-2, Juhi Kalan, Damodar Nagar, near Barra By Pass, Police Chowki, Kanpur, Uttar Pradesh 208027",Uttar Pradesh,Kanpur,208027,6307779269,AARADHYAEYEHOSPITALKNP@GMAIL.COM
Aaradhya Hospital,"Mahanaya Chowk, Ratanpur Road, Sarkanda, Bilaspur, Cg",Chattisgarh,Bilaspur,495001,9343230907,ARADHYAHOSPITAL2503@GMAIL.COM
AARADHYA MULTI SPECIALITY HOSPITAL,"C-89, Panchsheel Enclave, Opp. Koyal Enclave Bhopura(loni road)",Uttar Pradesh,Ghaziabad,201005,9266677963,AARADHYAHOSPITALS@GMAIL.COM
Aaraike Multi Speciality Hospital,GOPALAGOWDA EXTENSION BEHIND BSNL OFFICE SAGAR ROAD,Karnataka,Shimoga,577205,250404,
Aaraike Super Speciality Hospital,#1683/1 NEAR STADIUM HADADI ROAD,Karnataka,Davangere,577004,233446/237446,INFO@AARAIKEHOSPITALS.COM
Aarav Eye Care And Retina Centre,"Shop no. 5, Bhairav residency, Kanakia road",Maharashtra,Mumbai,401107,9769672742,AARAVEYECARE2017@GMAIL.COM
Aarbee Institute Of Medical Sciences(A Unitof Bilasa Medicals Pvt Ltd),"Swarnjayanti Nagar, Ring Road",Chattisgarh,Bilaspur,495001,413533/400900,OFFICE@AARBEEHOSPITAL.COM
Aarif Nursing Home,10-36-8,Andhra Pradesh,Visakhapatnam,530002,6646701,AARIFNURSINGHOME@YAHOO.COM
Aarna Super Speciality Hospital,FF SHANT PRABHA HEIGHTS,Gujarat,Ahmedabad,380008,7778025240,MEDICLAIMAASH@GMAIL.COM
Aarna Superspeciality Hospital(Uro Cure Associate),"Opp. Suvidha Shopping Center , Near Parimal Garden Under Bridge",Gujarat,Ahmedabad,380007,40108108,mediclaim@aashthehospital.com
Aarogya Healthcare Multispeciality Hospital,"City Pride , Parasia Road",Madhya Pradesh,Chhindwara,480001,6262640425,AROGYAHEALTHCARE.CWA@GMAIL.COM
Aarogya Hospital,"City hospital complex, delhi road",Haryana,Hisar,125001,245450,AAROGYAHOSPITALHISAR@GMAIL.COM
Aarogya Hospital,"Opp.Kuber Appt. Near Ashoka Tower Chowk, Shankar Nagar",Chattisgarh,Raipur,492007,7714044115,AAROGYA_RAIPUR@YAHOO.COM
Aarogya Hospital,"Nh-1, Sector 6, Vaishali",Uttar Pradesh,Ghaziabad,201010,9911886050,TPA@AAROGYAHOSPITAL.COM
Aarogya Hospital,"No. 32, Chitra Vihar, Vikas Marg, Behind Lakshmi Nagar District Centre",Delhi,New Delhi,110092,9911886050,AVHRC@REDIFFMAIL.COM
Aarogya Hospital,"Shc Aarya , Phc Diwadia",Madhya Pradesh,Sehore,466115,,AAROGYAHOSPITAL29@GMAIL.COM
Aarogya Hospital Multi Speciality  Center,"101, Chandra CHSL, Phase 3",Maharashtra,Mumbai,401105,8291389964,AAROGYAHOSPITALTPA2021@GMAIL.COM
Aarogya Multi Speciality Hospital & Trauma Centre,"HERAMBA HEIGHTS,OLD MUMBAI PUNE HIGHWAY,KHAREGAON NAKA,KALWA[W],THANE",Maharashtra,Mumbai,400605,022 - 25301999 / 8691078888,AAROGYAHOSPITAL123@GMAIL.COM
Aarogyadham The Health City,6 new roadm near Doon hospital,Uttarakhand,Dehradun,248001,2719992,CONTACT@AAROGYADHAMHOSPITAL.COM
Aarogyam Emergency Hospital Pvt Ltd ,"90 Feet , Vijay Nagar,  Infront Of Zoological Survey Of India, Kankarbagh",Bihar,Patna,800026,2380005,CORP.AAROGYAM@GMAIL.COM
Aarogyam Hospital,"182/1,Kaushalyapuri Chitawad,",Madhya Pradesh,Indore,452001,2400344,AAROGYAMHOSPITAL003@GMAIL.COM
Aarogyam Hospital,"Chakan - Talegaon Road, Kharabwadi, Besides Janseva Sehkari Bank",Maharashtra,Chakan,410501,9960760086,AAROGYAMHOSPITAL2011@GMAIL.COM
Aarogyam Institute Of Medical Sciences,"Walcut compound, Bajaja Nagar, Amravati, 444601",Maharashtra,Amravati,444601,2571139,HEMANT_MURKEY@REDIFFMAIL.COM
Aarogyam Multi Speciality,Shripat Smruti Building,Maharashtra,Mumbai,421201,251-2871287/ 7666388041,aarogyamhospital8@gmail.com
Aarogyam Multispeciality Hospital,"Renuka Building, Opp Mangala High School Near Thane Rly Station Thane East Maharashtra",Maharashtra,Mumbai,400603,9320901434,AAROGYAM2011@GMAIL.COM
Aarogyam Superspeciality Hospital & Research Center,"Opp. Toyota Show Room, Near D Mart, Durg Bypass Road, Nh-53, Kadambari Nagar, Bhilai - Durg (C.G.)",Chattisgarh,Durg,491001,7882990458,TPA@ASHAAROGYAM.COM
Aarogyam Women And Children Care Hospital,Tv Centre Road,Maharashtra,Aurangabad,431003,2382054,AAROGYAMHOSPITALAURANGABAD@GMAIL.COM
Aartham Multispeciality Hospital,NEAR PANJRAPOLE CHAR RASTA,Gujarat,Ahmedabad,380015,9023664405,CASHLESS@AARTHAMHOSPITAL.COM
Aarthy Eye Hospital,"#16, Segunthapuram Main Road, Karur",Tamil Nadu,Karur,639002,9994923347,RAMESHPALANIAPPAN@YAHOO.COM
Aarti Eye Hospital,"57-E, Tagore Nagar",Punjab,Ludhiana,141001,8427007800,DRNIKHILBANSAL@YAHOO.CO.IN
Aarush Ivf And Endoscopy Centre,"Prathmesh Harmny,",Maharashtra,Mumbai,400064,28060051 / 52 / 53,AARUSHIVF@GMAIL.COM
Aaryan Institute Of Medical Science,"Opp : Swaminarayan Temple , Mandvi",Gujarat,Kutch,370465,02834 - 222526,DRKHSHAH@HOTMAIL.COM
Aasha Childrens Hospital,"I-3-144, Rajendra Nagar, Mahabubnagar",Andhra Pradesh,Mahaboob Nagar,509001,8542255133,AASHAHOSPITAL2019@GMAIL.COM
Aasha Hospital,"# 7/201, Court Road, Anantapur, Anantapur",Andhra Pradesh,Anantapur,515001,08554 - 274194 / 237818,kedarnathstar@gmail.com
Aasha Multi Speciality Hospital,"1st. Floor rajlaxmi commercial complex, thane bhiwandi RD, Kalher",Maharashtra,Mumbai,421302,276046,AASHAHOSPITAL14@GMAIL.COM
Aashapura Clinic & Dialysis Centre,"Shop No.264 To 265 "D" Wing, 2Nd Floor, City Centre, Naroda, Ahmedabad, Gujarat-382345",Gujarat,Ahmedabad,382345,7874275745,AASHAPURAHOSPITAL.CASHLESS@GMAIL.COM
Aashapuri  Hospital,Chamunda CHS Ltd off western exp highway,Maharashtra,Mumbai,400068,7700049240,ASHAPURIHOSPITALDAHISAR@GMAIL.COM
Aashirwad Advanced Heart  Lung And Critical Care Centre,"356, CHAR CHAMAN, OPP SANATAN DHARAM MANDIR, KUNJAPURA, KARNAL",Haryana,Karnal,132001,9996222322,AASHIRWADTPA22@GMAIL.COM
Aashirwad Critical Care Unit And Multispeciality Hospital,"Navinjyot , RRT Road, Mulund West Mumbai 80",Maharashtra,Mumbai,400080,25606500,ACCUNIT@GMAIL.COM
Aashirwad Eye Hospital,"2ND FLOOR, OPAL SQUARE, WATER TANK ROAD, KARELIBAUG",Gujarat,Vadodara,390018,2491900,
Aashirwad Hospital,"H.No.5-6-303, Saraswathi Nagar, Road No.2, Nizamabad, Nisamabad District - 503001",Telangana,Nizamabad,503001,252322 & 220322,AARHIRWADHOSPITAL.NIZAMABAD@GMAIL.COM
Aashirwad Hospital,"Rama Mandi , Near Nangel Shama Chowk , Jalandher Cantt",Punjab,Jalandhar,144005,0181 - 2411458,aashirvadjrc@gmail.com
Aashirwad Hospital,"Om Shardha Towers, 2nd Floor, Above Thane Janata S, Kalyan (E) Thane, Kalyan (W)",Maharashtra,Mumbai,421306,0251 - 2358075,AASHIRWADKALYAN@GMAIL.COM
Aashirwad Hospital,"101, Dev Murti Colony, Near Devi Mandir, Sukhdev Nagar, Panipat",Haryana,Panipat,132103,9306583932,AASHIRWADHOSPITAL.HR@GMAIL.COM
Aashirwad Hospital Maternity Surgical,"Dlh Orchid, Ground Floor, Apna Ghar, Satyam Shivam Sundaram Cross Road No. 2, Lokhandwala Complex,",Maharashtra,Mumbai,400053,26366111,KISHORENICHANI@GMAIL.COM
Aashirwad Nursing Home Heart And Diabetes Center,"A-29/3.Lions Enclave, Marble Block, Opp. Dda Park, Vikas Nagar, Uttam Nagar",Delhi,New Delhi,110059,9212146621,AASHIRWADNURSINGHOME@GMAIL.COM
Aashka Multispeciality Hospital,"NEAR NID & DHIRUBHAI AMBANI IICT CAMPUS,MAHATMA MANDIR TO GIFT CITY ROAD",Gujarat,Gandhi Nagar,382421,7575007703,INFOAHOSPITALS.IN@AASH.COM
Aashlok Hospital.,"25, BLOCK B , COMMUNITY CENTRE, SAFDARJUNG ENCLAVE , NEW DELHI 110029",Delhi,New Delhi,110029,46165900,TPA@AASHLOKHOSPITAL.COM
Aashray Urology Institute,"# 80/A, Sampatrao Colony, Off R C Dutt Road",Gujarat,Vadodara,390007,0265 - 2356295 / 3299449,ashit@aashrayuro.com
Aashraya Hospital ,"TAGORE ROAD, 1st CROSS,",Karnataka,Gadag,582101,9986377009,AASHRAYAHOSPITALGADAG@GMAIL.COM
Aashutosh Orthopedic Hospital,"Opp Ahir Boarding Near PWD quarter K D Jewellers Street, Amber Talkies Road.",Gujarat,jamnagar,361008,0288-2675500,DRMILINDMP@GMAIL.COM
Aastha Critical Care And Avatar Meher Baba Hospital,"Plot No. 86, Opp Balaji Sabhagruha Suyog Nagar",Maharashtra,Nagpur,440015,712-2789943,DRPIYUSHSHINDE@GMAIL.COM
Aastha Eye Care,"A-205, ORCHID CENTRE, OPP. SAFAL PARISAR 1 , SOUTH BOPAL, AHMEDABAD,  PINCODE-380058",Gujarat,Ahmedabad,380058,02717-298099,
Aastha Eye Centre,"5r/5 N.I.T Faridabad, Behind Neelam Petrol Pump",Haryana,Faridabad,121001,9811605066,AASTHAEYECENTREFARIDABAD@GMAIL.COM
Aastha Health Care,"Mulund Colony, Opp Lbs Road, Opp Chheda Petrol Pump, Mulund (W)",Maharashtra,Mumbai,400082,022 - 25628262 / 63 / 64 / 65,admin@aasthahealthcare.com
Aastha Hospital,Scf-2 Ashoka Enclave Main Sec-35. Faridabad,Haryana,Faridabad,121004,9999999999,
Aastha Hospital ,"Rais Arcade, 1st Floor, ",Maharashtra,Mumbai,401403,9373963408,AASTHAHOSPITALMANOR97@GMAIL.COM
Aastha Hospital,"65, Balasinor Society, S V Road, Opp. Fire Birgade, Kandivali West, Mumbai, Maharashtra-400067",Maharashtra,Mumbai,400067,28010700 / 28010800,AASTHAHOSPITAL07@GMAIL.COM
Aastha Hospital,"250/3351, Ground Floor -2",Maharashtra,Mumbai,400083,25742211,AASTHAHOSPITALVIKHROLI@GMAIL.COM
Aastha Hospital,"Aastha Hospital Lane, Bhaba Nagar Square, Berhampur Ganjam Odisha",Odisha,Brahmapur,760004,2282444,INFO.AASTHAHOSPITALS@GMAIL.COM
Aastha Hospital & Diagnostic Centre,"10,21 & 22,Third Floor,Uma Plaza,Opp.Sai Darshan Residency,Dindoli Kharwasa Main Road, Dindoli,Surat",Gujarat,Surat,394210,6355099200/6355080151,AASTHAHOSPITALCARETPA@GMAIL.COM
Aastha Hospital And I.C.U.,"c-4/8/2,Central Excise Road,Near Horizone Hotel,",Gujarat,Ankleshwar,393002,9909966214,AASTHAHOSPITAL.ICU@GMAIL.COM
Aastha Hospital New Delhi,"L-2/50, New Mahavir Nagar, Opp.Kagra Niketan",Delhi,New Delhi,110018,011-25993047,drsanjayjain2003@yahoo.com
Aastha Kidney Hospital,"B-20 11971/1 Krishna Nagaer ,Civil lines",Punjab,Ludhiana,141001,0161 - 5072042,aastha_kidney_hospital@yahoo.com
Aastha Lok Hospital Pvt Ltd,"N/4, Professor Colony, Near Kendiya Vidyalaya, Kankarbagh, Patna",Bihar,Patna,800020,8102868491,AASTHALOKHOSPITAL@GMAIL.COM
Aastha Maternity And Nursing Home,"1St Floor, Bhoomi Residency, Triveni Nagar",Maharashtra,Mumbai,400097,9321439797,AASTHA400097@GMAIL.COM
Aastha Multispeciality Hospital,"Nr. Patel wadi karamadi road, nava bazar,karjan",Gujarat,Vadodara,391240,9512130040 / 9512130050,aasthamultispecialityhospital1@gmail.com
Aastha Nursing Home,"10 Narsinh niwas,  ",Maharashtra,Mumbai,400058,8655174314,AASTHAHOSPITALANDHERIW@GMAIL.COM
Aaxis Hospital,"NO. 786, NO. 29-1 AND 30 BELLATHUR VILLAGE",Karnataka,Bengaluru,560067,7090000384,AAXISHOSPITALS@GMAIL.COM
Aayog Surgical Hospital,"611, SWANIK ARCADE, PRAGATINAGAR TO K K NAGAR ROAD, NR, VARDAN TOWER, NARANPURA",Gujarat,Ahmedabad,380013,9662176179,AAYOGSURGICAL100218@GMAIL.COM
Aayug Multi Specialty Hospital,"# 477 1st Main, B Block Aecs Layout, Kundanahalli",Karnataka,Bengaluru,560037,9243419712,MEDICALDIR@AAYUG.IN
Aayush Eye Clinic,"201, Coral Classic, 20th Road",Maharashtra,Mumbai,400071,022 - 25288306,aayusheye@yahoo.com
Aayush Hospital,"Plot No. 41-42, Near Azad Weigh Bridge, Nh No.8",Gujarat,Vapi,396191,0260 - 2425040 / 2426040,HOSPITALAAYUSH@GMAIL.COM
Aayush Hospital,"Building No E 2, 2nd & 3rd Floor, Radha Nagar Shopping Centre, Khadakpada-Kalyan West, Thane -",Maharashtra,Mumbai,421301,7303030365,CASHLESS.AAYUSHHOSPITAL@GMAIL.COM
Aayush Hospital,Surya Arcade 3rd Floor Opp Nimani Bus Stop Panchawati Nashik,Maharashtra,Nashik,422001,2511309 ,aayushhospital2014@yahoo.in
Aayush Multispeciality Hospital,"1 ST FLOOR, MARIGOLD APT, OPT-NITIN COMPANY",Maharashtra,Mumbai,400602,8691033000,AAYUSH.HOSPITAL.THANE@GMAIL.COM
Aayush Nri Lepl Health Care Pvt Ltd,48-13-3 & 3a Opp.Siddharth Medical College Ring Road,Andhra Pradesh,Vijayawada,520008,8662541414,AAYUSHHOSPITALS4U@GMAIL.COM
Aayushman Clinic,"Plot No 6, Road No 16, Sector 19, New Panvel",Maharashtra,Mumbai,410206,022 - 27460339,SHAILESHNPSHARMA@YAHOO.CO.IN
Aayushman Hospital,"D.No: 14-38-1, Opp: American Hospital",Andhra Pradesh,Visakhapatnam,530002,9246636088,AAYUSHMANHOSPITAL2018@GMAIL.COM
Abane Hospital,"Parmar Complex, Ground Floor, Behind Lokseva Hanuman Mandir, Gadital , Hadpsar",Maharashtra,Pune,411028,20-26993128,SACHINABANE@YAHOO.COM
Abc Hospital,NO 27 PATTUNOOLKARA STREET,Tamil Nadu,Ariyalur,621704,223666,ABCHOSPITALALR@GMAIL.COM
Abg Hospital,"Aligarh - Agra National Highway Sasni, Mahmud Barsai, Uttar Pradesh 204216",Uttar Pradesh,Hathras,204216,9756345634,ABGHOSPITALHTS@GMAIL.COM
Abhay Institute Of Medical Sciences,"Hariu, Gaya Dobhi Road, Opp To Gaya International Airport",Bihar,Gaya,823001,2210555/2210777,aimsgayabihar@gmail.com
Abhay Medical Hospital,Opp Dudhsagar dairy,Gujarat,Mehsana,384002,9909534554,KETANCRAZY001@YAHOO.COM
Abhaya Bbc Childrens Hospital,"2-1-569, Vidyanagar",Telangana,Hyderabad,500044,040 - 27653266,abhayabbc@gmail.com
Abhaya Hospital,"17 Dr. M.H. Mari Gowda Road(Hosur Road), Opp. Park Area Wilson Garden Bangalore - 560027",Karnataka,Bengaluru,560027,080 - 26563865 / 26564586 / 26566767,abhayahospital@live.in
Abhaya Multispeciality Hospital,"5-8-20/4,5,6,7 Bottuguda,Src Mansion , Temple Tower ",Telangana,Nalgonda,508001,7.3373310801e+013,IT@ABHAYAHOSPITALS.COM
Abhaya Multispeciality Hospital,"D.NO: 33-18-02, CHALASANI VENKATA KRISHNAIAH STREET",Andhra Pradesh,Vijayawada,520002,3553561,ABHAYAHOSPITALS.CREDIT@GMAIL.COM
Abhayahasta Multispeciality Hospital,"#347/247 2ND CROSS, KAGADASAPURA MAIN ROAD,CV RAMAN NAGAR",Karnataka,Bengaluru,560093,8046565200,INSURANCE@ABHAYAHASTAHOSPITALS.COM
